,Age,Gender,Primary_Device,Health_Impacts,Threshold_Limit_hr,Avg_screen_time_per_criterias,Health_impact_count,Avg_Daily_Screen_Time_per_age_only,Educational_to_Recreational_Ratio,Avg_Recreational_Screen_time,Avg_Educational_Screen_time
0,8,Male,Smartphone,Poor Sleep,2.0,5.82,72,3.84,0.498,2.91,1.443
1,8,Male,Smartphone,Eye Strain,2.0,5.74,40,3.84,0.498,2.91,1.443
2,8,Male,Smartphone,None,2.0,2.59,100,3.84,0.498,2.91,1.443
3,8,Male,Smartphone,Anxiety,2.0,6.29,15,3.84,0.498,2.91,1.443
4,8,Male,Smartphone,Obesity Risk,2.0,6.03,22,3.84,0.498,2.91,1.443
5,8,Male,Laptop,Poor Sleep,2.0,6.03,22,3.84,0.498,2.91,1.443
6,8,Male,Laptop,Eye Strain,2.0,6.03,22,3.84,0.498,2.91,1.443
7,8,Male,Laptop,None,2.0,6.03,22,3.84,0.498,2.91,1.443
8,8,Male,Laptop,Anxiety,2.0,6.03,22,3.84,0.498,2.91,1.443
9,8,Male,Laptop,Obesity Risk,2.0,6.03,22,3.84,0.498,2.91,1.443
10,8,Male,TV,Poor Sleep,2.01,5.56,69,3.84,0.498,2.91,1.443
11,8,Male,TV,Eye Strain,2.01,5.56,22,3.84,0.498,2.91,1.443
12,8,Male,TV,None,2.01,2.36,82,3.84,0.498,2.91,1.443
13,8,Male,TV,Anxiety,2.01,4.98,11,3.84,0.498,2.91,1.443
14,8,Male,TV,Obesity Risk,2.01,5.14,15,3.84,0.498,2.91,1.443
15,8,Male,Tablet,Poor Sleep,1.98,5.84,42,3.84,0.498,2.91,1.443
16,8,Male,Tablet,Eye Strain,1.98,5.53,21,3.84,0.498,2.91,1.443
17,8,Male,Tablet,None,1.98,2.57,46,3.84,0.498,2.91,1.443
18,8,Male,Tablet,Anxiety,1.98,5.35,14,3.84,0.498,2.91,1.443
19,8,Male,Tablet,Obesity Risk,1.98,5.91,9,3.84,0.498,2.91,1.443
20,8,Female,Smartphone,Poor Sleep,1.98,5.7,65,3.84,0.498,2.91,1.443
21,8,Female,Smartphone,Eye Strain,1.98,5.54,22,3.84,0.498,2.91,1.443
22,8,Female,Smartphone,None,1.98,2.13,94,3.84,0.498,2.91,1.443
23,8,Female,Smartphone,Anxiety,1.98,5.6,27,3.84,0.498,2.91,1.443
24,8,Female,Smartphone,Obesity Risk,1.98,5.68,18,3.84,0.498,2.91,1.443
25,8,Female,Laptop,Poor Sleep,1.98,5.68,18,3.84,0.498,2.91,1.443
26,8,Female,Laptop,Eye Strain,1.98,5.68,18,3.84,0.498,2.91,1.443
27,8,Female,Laptop,None,1.98,5.68,18,3.84,0.498,2.91,1.443
28,8,Female,Laptop,Anxiety,1.98,5.68,18,3.84,0.498,2.91,1.443
29,8,Female,Laptop,Obesity Risk,1.98,5.68,18,3.84,0.498,2.91,1.443
30,8,Female,TV,Poor Sleep,1.96,5.73,63,3.84,0.498,2.91,1.443
31,8,Female,TV,Eye Strain,1.96,4.95,31,3.84,0.498,2.91,1.443
32,8,Female,TV,None,1.96,2.57,80,3.84,0.498,2.91,1.443
33,8,Female,TV,Anxiety,1.96,5.82,24,3.84,0.498,2.91,1.443
34,8,Female,TV,Obesity Risk,1.96,5.5,10,3.84,0.498,2.91,1.443
35,8,Female,Tablet,Poor Sleep,2.08,5.45,37,3.84,0.498,2.91,1.443
36,8,Female,Tablet,Eye Strain,2.08,5.47,13,3.84,0.498,2.91,1.443
37,8,Female,Tablet,None,2.08,2.2,44,3.84,0.498,2.91,1.443
38,8,Female,Tablet,Anxiety,2.08,5.31,7,3.84,0.498,2.91,1.443
39,8,Female,Tablet,Obesity Risk,2.08,5.62,8,3.84,0.498,2.91,1.443
40,9,Male,Smartphone,Poor Sleep,2.01,5.53,79,3.91,0.503,2.869,1.439
41,9,Male,Smartphone,Eye Strain,2.01,5.13,37,3.91,0.503,2.869,1.439
42,9,Male,Smartphone,None,2.01,2.31,75,3.91,0.503,2.869,1.439
