Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural,Education_ScreenTime,Recreational_ScreenTime,device_usage_share,has_health_issue,screen_time_zscore
14,Male,3.99,Smartphone,TRUE,0.42,Poor Sleep,Urban,1.6758,2.3142,47.03459638,1,-0.211168573
14,Male,3.26,Smartphone,TRUE,0.46,Poor Sleep,Urban,1.4996,1.7604,14.75494234,1,0.149667353
14,Male,3.2,Smartphone,TRUE,0.4,Poor Sleep,Urban,1.28,1.92,25.60749588,1,-0.362486865
14,Male,3.82,Smartphone,TRUE,0.31,Poor Sleep,Urban,1.1842,2.6358,14.75494234,1,-1.829110305
14,Male,4.91,Smartphone,TRUE,0.37,Poor Sleep,Urban,1.8167,3.0933,47.03459638,1,0.894618941
14,Male,3.18,Smartphone,TRUE,0.41,Poor Sleep,Urban,1.3038,1.8762,47.03459638,1,0.306805578
14,Male,6.16,Smartphone,TRUE,0.44,Poor Sleep,Urban,2.7104,3.4496,25.60749588,1,-0.80480187
14,Male,5.87,Smartphone,TRUE,0.35,Poor Sleep,Urban,2.0545,3.8155,25.60749588,1,-0.938660359
14,Male,6.69,Smartphone,TRUE,0.49,Poor Sleep,Urban,3.2781,3.4119,14.75494234,1,0.149667353
14,Male,3.75,Smartphone,TRUE,0.38,Poor Sleep,Urban,1.425,2.325,12.6029654,1,-0.647663645
14,Male,6.08,Smartphone,TRUE,0.38,Poor Sleep,Urban,2.3104,3.7696,12.6029654,1,-0.47888555
14,Male,5.03,Smartphone,TRUE,0.48,Poor Sleep,Urban,2.4144,2.6156,25.60749588,1,0.341725184
14,Male,5.8,Smartphone,TRUE,0.46,Poor Sleep,Urban,2.668,3.132,47.03459638,1,0.138027484
14,Male,3.65,Smartphone,TRUE,0.45,Poor Sleep,Urban,1.6425,2.0075,25.60749588,1,1.005197693
14,Male,3.77,Smartphone,TRUE,0.4,Poor Sleep,Urban,1.508,2.262,47.03459638,1,1.045937233
14,Male,5.02,Smartphone,TRUE,0.3,Poor Sleep,Urban,1.506,3.514,47.03459638,1,-0.385766602
14,Male,5.74,Smartphone,TRUE,0.48,Poor Sleep,Urban,2.7552,2.9848,47.03459638,1,1.59883099
14,Male,5.33,Smartphone,TRUE,0.34,Poor Sleep,Urban,1.8122,3.5178,47.03459638,1,1.528991778
14,Male,5.09,Smartphone,TRUE,0.31,Poor Sleep,Urban,1.5779,3.5121,47.03459638,1,-0.310107456
14,Male,6,Smartphone,TRUE,0.4,Poor Sleep,Urban,2.4,3.6,25.60749588,1,-2.533322353
14,Male,5.53,Smartphone,TRUE,0.37,Poor Sleep,Urban,2.0461,3.4839,47.03459638,1,-0.292647653
14,Male,3.91,Smartphone,TRUE,0.48,Poor Sleep,Urban,1.8768,2.0332,47.03459638,1,-0.176248968
14,Male,4.94,Smartphone,TRUE,0.4,Poor Sleep,Urban,1.976,2.964,12.6029654,1,-1.584673065
14,Male,3.06,Smartphone,TRUE,0.33,Poor Sleep,Urban,1.0098,2.0502,25.60749588,1,1.412593093
14,Male,4.84,Smartphone,TRUE,0.5,Poor Sleep,Urban,2.42,2.42,12.6029654,1,-0.676763316
14,Male,6.21,Smartphone,TRUE,0.42,Poor Sleep,Urban,2.6082,3.6018,47.03459638,1,0.353365053
14,Male,4.17,Smartphone,TRUE,0.32,Poor Sleep,Urban,1.3344,2.8356,47.03459638,1,-1.45663451
14,Male,3.11,Smartphone,TRUE,0.45,Poor Sleep,Urban,1.3995,1.7105,47.03459638,1,-0.077310085
14,Male,4.33,Smartphone,TRUE,0.38,Poor Sleep,Urban,1.6454,2.6846,47.03459638,1,-2.352904391
14,Male,4.27,Smartphone,TRUE,0.38,Poor Sleep,Urban,1.6226,2.6474,25.60749588,1,0.452303935
14,Male,3.26,Smartphone,TRUE,0.49,Poor Sleep,Urban,1.5974,1.6626,47.03459638,1,0.056548404
14,Male,4.97,Smartphone,TRUE,0.32,Poor Sleep,Urban,1.5904,3.3796,47.03459638,1,-0.775702199
14,Male,4.9,Smartphone,TRUE,0.37,Poor Sleep,Urban,1.813,3.087,12.6029654,1,-1.276216548
14,Male,5.5,Smartphone,TRUE,0.35,Poor Sleep,Urban,1.925,3.575,47.03459638,1,-0.042390479
14,Male,5.75,Smartphone,TRUE,0.44,Poor Sleep,Urban,2.53,3.22,47.03459638,1,0.574522555
14,Male,6.1,Smartphone,TRUE,0.38,Poor Sleep,Urban,2.318,3.782,14.75494234,1,-0.496345353
14,Male,4.78,Smartphone,TRUE,0.34,Poor Sleep,Urban,1.6252,3.1548,25.60749588,1,4.264360893
14,Male,6.07,Smartphone,TRUE,0.33,Poor Sleep,Urban,2.0031,4.0669,47.03459638,1,-1.584673065
14,Male,6.36,Smartphone,TRUE,0.32,Poor Sleep,Urban,2.0352,4.3248,47.03459638,1,0.161307221
14,Male,4.48,Smartphone,TRUE,0.4,Poor Sleep,Urban,1.792,2.688,25.60749588,1,-0.083130019
14,Male,4.59,Smartphone,TRUE,0.49,Poor Sleep,Urban,2.2491,2.3409,47.03459638,1,0.120567681
14,Male,6.89,Smartphone,TRUE,0.41,Poor Sleep,Urban,2.8249,4.0651,25.60749588,1,-0.490525419
14,Male,3.91,Smartphone,TRUE,0.4,Poor Sleep,Urban,1.564,2.346,47.03459638,1,0.196226827
14,Male,4.14,Smartphone,TRUE,0.46,Poor Sleep,Urban,1.9044,2.2356,25.60749588,1,1.895647638
14,Male,5.1,Smartphone,TRUE,0.45,Poor Sleep,Urban,2.295,2.805,47.03459638,1,-0.932840425
14,Male,6.02,Smartphone,TRUE,0.41,Poor Sleep,Urban,2.4682,3.5518,25.60749588,1,1.389313355
14,Male,3.58,Smartphone,TRUE,0.49,Poor Sleep,Urban,1.7542,1.8258,47.03459638,1,-2.533322353
14,Male,4.76,Smartphone,TRUE,0.43,Poor Sleep,Urban,2.0468,2.7132,47.03459638,1,-1.17145773
