,Age,Primary_Device,Health_Impacts_count
2,8,Tablet,241
1,8,TV,407
0,8,Smartphone,475
5,9,Tablet,239
4,9,TV,436
3,9,Smartphone,440
8,10,Tablet,209
6,10,Smartphone,423
7,10,TV,455
12,11,Tablet,121
11,11,TV,236
9,11,Laptop,281
10,11,Smartphone,560
16,12,Tablet,112
15,12,TV,225
13,12,Laptop,269
14,12,Smartphone,641
20,13,Tablet,130
17,13,Laptop,230
19,13,TV,265
18,13,Smartphone,647
24,14,Tablet,127
23,14,TV,252
21,14,Laptop,263
22,14,Smartphone,640
28,15,Tablet,130
25,15,Laptop,252
27,15,TV,258
26,15,Smartphone,574
32,16,Tablet,103
29,16,Laptop,236
31,16,TV,258
30,16,Smartphone,630
36,17,Tablet,124
33,17,Laptop,246
35,17,TV,270
34,17,Smartphone,655
40,18,Tablet,117
39,18,TV,235
37,18,Laptop,242
38,18,Smartphone,590
